用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****2,,"<div class=""comment-star star1""></div>",用了以后脸上发红发烫。过敏了,【热销爆款】水润保湿面膜,,,,,2019-11-14 21:13
u***j,,"<div class=""comment-star star1""></div>",无感～包装坏了不会有下一次了,,,2018-05-07 14:37,水润保湿面膜10片,,
h***6,PLUS会员,"<div class=""comment-star star1""></div>",为什么盒子都是拆开的，有一种赝品的感觉,水润保湿面膜10片,2018-06-18 22:33,,,,
u***g,,"<div class=""comment-star star1""></div>",不知道怎么样包装来时是坏的,,,2017-12-11 09:44,水润保湿面膜10片,,
u***b,,"<div class=""comment-star star1""></div>",用完脸上黏黏的，不清爽,水润保湿面膜10片,2017-06-30 20:59,,,,
u***g,,"<div class=""comment-star star1""></div>",这不是正品！卸载京东，脸上过敏,水润保湿面膜10片,2017-06-24 23:32,,,,
燕***i,PLUS会员,"<div class=""comment-star star1""></div>",有拆过痕迹，怀疑被掉包了，,,,,【热销爆款】水润保湿面膜10片,2020-05-20 18:28,
****?,,"<div class=""comment-star star1""></div>",差劲，每批材质和大小都不一样,水润保湿面膜,,,,,2019-02-26 15:40
u***b,PLUS会员,"<div class=""comment-star star1""></div>",还没用，不知有没有效果,,,2017-11-04 10:54,水润保湿面膜10片,,
****b,,"<div class=""comment-star star1""></div>",感觉是假的，敷了没有任何效果，不建议购买,【热销爆款】水润保湿面膜,,,,,2019-11-08 16:34
****n,,"<div class=""comment-star star1""></div>",第一次买都不会过敏，这次买大过敏到吐血,【热销爆款】水润保湿面膜,,,,,2019-11-07 21:20
****b,,"<div class=""comment-star star1""></div>",用了一贴，感觉不怎么样,水润保湿面膜10片,2018-06-04 10:45,,,,
****5,,"<div class=""comment-star star1""></div>",这一次买的面膜又黄又薄，没有上次买的好,水润保湿面膜,,,,,2019-06-10 22:25
****2,,"<div class=""comment-star star1""></div>",一般，感觉实质没啥效果倒是发货速度很快,水润保湿面膜10片,2017-09-13 14:48,,,,
****i,,"<div class=""comment-star star1""></div>",商家优惠活动各种耍猴,【热销爆款】水润保湿面膜,2020-06-20 12:03,,,,
u***4,PLUS会员,"<div class=""comment-star star1""></div>",这包装都破了，这还敢敷脸上吗,,,2017-08-31 11:27,水润保湿面膜10片,,
****E,,"<div class=""comment-star star1""></div>",不怎么样...春雨比这个好些,【热销爆款】水润保湿面膜10片,,,,,2020-01-11 12:44
I***续,PLUS会员,"<div class=""comment-star star1""></div>",买了不到一星期就降价,水润保湿面膜10片,2017-06-10 20:19,,,,
平***灵,,"<div class=""comment-star star1""></div>",包装全都扁掉了，丑死了,,,2016-06-28 17:23,针剂水库补水保湿面膜25ml*10,,
我***婷,,"<div class=""comment-star star1""></div>",收到之后惊呆了。直接看图说话吧,,,2017-11-02 21:05,水润保湿面膜10片,,
Y***G,PLUS会员,"<div class=""comment-star star1""></div>",坑，和实体店买的不一样，里面这回是还有字,,,,水润保湿面膜,2019-05-18 16:02,
D***2,PLUS会员,"<div class=""comment-star star1""></div>",买完就降价了郁闷郁闷,水润保湿面膜10片,,,,,
笑***妈,PLUS会员,"<div class=""comment-star star1""></div>",盒子都这样了怎么送人？,,,2016-06-09 11:22,针剂水库补水保湿面膜25ml*10,,
****菜,PLUS会员,"<div class=""comment-star star1""></div>",为什么是打开的？盒子中间贴的什么给撕了？,,,2018-05-20 14:47,水润保湿面膜10片,,
