用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
欧***鳶,,"<div class=""comment-star star1""></div>",刚买就降价？逗我玩呢？,水润保湿面膜10片,2016-07-29 22:01,,,,
众***兮,PLUS会员,"<div class=""comment-star star1""></div>",只能说不是真品，盗版,水润保湿面膜10片,2017-09-28 17:20,,,,
****5,,"<div class=""comment-star star1""></div>",包装真差，到手就烂了,水润保湿面膜10片,2018-06-13 21:40,,,,
l***t,PLUS会员,"<div class=""comment-star star1""></div>",不像真的盒子都破了,水润保湿面膜10片,2018-04-19 00:04,,,,
****e,,"<div class=""comment-star star1""></div>",不好用感觉像假的一样一点不补水,【玄彬同款】水润面膜,2021-02-04 19:11,,,,
企***信,,"<div class=""comment-star star1""></div>",用过起痘痘一家都用了，都起痘痘,【热销爆款】水润保湿面膜,2020-07-09 10:37,,,,
b***d,,"<div class=""comment-star star1""></div>",拆开过，包装也不好。,水润保湿面膜10片,2018-08-16 14:52,,,,
1***p,,"<div class=""comment-star star1""></div>",包装都破了，都拆开了！,水润保湿面膜10片,,,,,
是***货,PLUS会员,"<div class=""comment-star star1""></div>",包装盒封条全打开了。,水润保湿面膜10片,2017-11-22 20:38,,,,
****T,,"<div class=""comment-star star1""></div>",为什么给打开了，你们有职责道德吗？,,,2021-01-31 19:18,【玄彬同款】水润面膜,,
幼***熊,PLUS会员,"<div class=""comment-star star1""></div>",不像正品，*越来越完蛋,水润保湿面膜10片,2017-09-05 19:12,,,,
u***t,PLUS会员,"<div class=""comment-star star1""></div>",邮过来包装都碎了。。。,水润保湿面膜10片,2016-09-11 15:52,,,,
C***8,PLUS会员,"<div class=""comment-star star1""></div>",这次一打开盒子都是烂的，买了4盒，每个盒子都是开的不知道什么原因，,水润保湿面膜10片,2018-04-06 08:55,,,,
C***6,,"<div class=""comment-star star1""></div>",拿到手，包装完全坏了，而且扫描二维码扫不出来正品。,水润保湿面膜10片,2018-02-13 08:52,,,,
b***n,PLUS会员,"<div class=""comment-star star1""></div>",老婆说这次用后有颗粒物，感觉没有以前好，不像正品。,,,2018-06-17 14:15,水润保湿面膜10片,,
u***m,,"<div class=""comment-star star1""></div>",太厚了，感觉不是正品,水润保湿面膜,,,,,2019-01-22 00:32
枫***流,PLUS会员,"<div class=""comment-star star1""></div>",包装不好，压的严重变形，以前有纸盒装，现再就直接用塑料袋包装。,水润保湿面膜10片,2018-07-10 18:32,,,,
七***Y,,"<div class=""comment-star star1""></div>",不好用用了起痘痘面膜纸太厚,水润保湿面膜10片,2017-09-20 21:22,,,,
s***4,PLUS会员,"<div class=""comment-star star1""></div>",盒子已经破损开口了。,,,,水润保湿面膜,2019-07-01 18:55,
****P,,"<div class=""comment-star star1""></div>",速度确实快，京东小哥态度也很好。就是我好好的包装为什么能成这样？,,,2016-10-27 12:45,水润保湿面膜10片,,
K***Q,,"<div class=""comment-star star1""></div>",怎么连珠光膜也没有确定是正品吗用着一般,水润保湿面膜10片,,,,,
我***1,,"<div class=""comment-star star1""></div>",产品质感：很硬补水效果：不好，贴合效果：不贴合,【热销爆款】水润保湿面膜,2020-07-19 09:38,,,,
2***a,,"<div class=""comment-star star1""></div>",收到货是被拆开的？？？,,,,水润保湿面膜,2018-11-11 17:40,
****l,,"<div class=""comment-star star1""></div>",从敷的效果和敷的过程出现的情况看产品貌似不真,水润保湿面膜10片,2018-09-20 09:43,,,,
2***蛋,,"<div class=""comment-star star1""></div>",包装是老款，不是新款的，用起来感觉不一样,水润保湿面膜10片,2017-08-20 11:51,,,,
w***4,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：用后脸有刺痛感，应该是假货，不建议大家买,【热销爆款】水润保湿面膜10片,,,,,2020-05-30 23:47
****I,,"<div class=""comment-star star1""></div>",不知道为什么晚上贴一张第二天准起痘。,【热销爆款】水润保湿面膜,,,,,2019-10-28 13:59
****e,PLUS会员,"<div class=""comment-star star1""></div>",不是很好用。我用完之后脸上反而起皮了,【热销爆款】水润保湿面膜10片,,,,,2020-02-20 18:21
****1,PLUS会员,"<div class=""comment-star star1""></div>",东西一般，价格和价值太大偏离。没多大用，买来没用丢着,水润保湿面膜10片,2017-09-10 11:55,,,,
s***2,,"<div class=""comment-star star1""></div>",刚买了几天就降价！！！！,水润保湿面膜10片,2018-01-09 10:42,,,,
****e,,"<div class=""comment-star star1""></div>",辣鸡包装都被开过了,,,,水润保湿面膜,2019-06-27 22:52,
****。,PLUS会员,"<div class=""comment-star star1""></div>",不咋行，有点刺激，扔了，应该是有可能不适合我吧,【补水保湿】水润面膜,2020-08-31 08:52,,,,
辉***轩,,"<div class=""comment-star star1""></div>",盒子是烂的假货,,,2018-03-10 13:39,水润保湿面膜10片,,
o***阳,PLUS会员,"<div class=""comment-star star1""></div>",包装破损，服务态度差,水润保湿面膜10片,2018-01-23 21:50,,,,
哆***f,,"<div class=""comment-star star1""></div>",实物和图片有差距，实物上面没有那个x3,,,2016-12-16 23:11,水润保湿面膜10片,,
C***0,PLUS会员,"<div class=""comment-star star1""></div>",盒子是被人拆过的，还写着套装勿拆，我也是醉了，再也不敢上网买面膜了,,,2017-11-15 22:51,水润保湿面膜10片,,
王***6,,"<div class=""comment-star star1""></div>",三倍补水，连精华液都没有，怎么补水,【玄彬同款】水润面膜,2020-12-16 21:49,,,,
****x,,"<div class=""comment-star star1""></div>",假货泛滥跟之前专柜买的不一样，果然便宜没好货,【玄彬同款】水润面膜,2021-04-05 18:53,,,,
小***0,,"<div class=""comment-star star1""></div>",晕死，刚收到货，竟然降价50块，有没有搞错,水润保湿面膜10片,2018-06-01 21:19,,,,
剑***5,,"<div class=""comment-star star1""></div>",已经被拆了，看到别的买家说还不相信，原来京东也是不可靠的,,,2016-06-22 20:40,针剂水库补水保湿面膜25ml*10,,
u***l,,"<div class=""comment-star star1""></div>",一盒里面竟然不是十贴装，少一贴，气人,【玄彬同款】水润面膜,2021-01-24 14:49,,,,
S***e,,"<div class=""comment-star star1""></div>",我只想问一下为什么我买了8盒只给了一盒是什么意思,,,2020-06-19 21:08,【热销爆款】水润保湿面膜,,
****m,PLUS会员,"<div class=""comment-star star1""></div>",有效期过了三分之二还发货？双11变成清库存了。,,,2020-11-11 16:21,【补水保湿】水润面膜,,
****U,,"<div class=""comment-star star1""></div>",贴完脸上都长红疙瘩，假货吧以前用都没有这种情况,,,,水润保湿面膜,2019-06-01 09:26,
1***p,,"<div class=""comment-star star1""></div>",不知道是不是正品跟我以前买的不一样。而且精华液少,水润保湿面膜,,,,,2019-09-21 19:59
珺***呢,,"<div class=""comment-star star1""></div>",买了八盒，发了一盒，说补发，等了十天，七盒依然没有看到,【热销爆款】水润保湿面膜,2020-06-28 11:08,,,,
u***t,,"<div class=""comment-star star1""></div>",为什么包装盒又烂了，还是湿湿的，上次买也是这样的。,水润保湿面膜10片,2017-04-19 13:51,,,,
****e,,"<div class=""comment-star star1""></div>",不是正品不要上当了,水润保湿面膜,,,,,2019-10-13 23:21
u***7,,"<div class=""comment-star star1""></div>",应该是假的，跟我在免税店买的不一样，面膜纸都有区别,水润保湿面膜10片,2018-03-09 20:25,,,,
****i,,"<div class=""comment-star star1""></div>",我感觉不是正品，和我以前买的不一样，没以前买的好用,水润保湿面膜10片,2017-11-15 18:12,,,,
****6,,"<div class=""comment-star star1""></div>",不是丝质的，比丝质的厚好多，让人有点怀疑是不是假货,水润保湿面膜10片,2016-12-16 05:33,,,,
****U,,"<div class=""comment-star star1""></div>",玛德，刚买就对折…,水润保湿面膜10片,2016-12-21 01:01,,,,
段***坤,,"<div class=""comment-star star1""></div>",肯定是假的和朋友从韩国带回来的感觉完全不一样,水润保湿面膜10片,2017-10-17 22:34,,,,
K***o,,"<div class=""comment-star star1""></div>",跟从韩国买回来的不一样，敷完以后脸上有红点,水润保湿面膜10片,2016-11-03 11:36,,,,
u***t,PLUS会员,"<div class=""comment-star star1""></div>",这样的包装也是醉了，怀疑是原包装拆开后再放进的面膜片，也不知道真假,,,,水润保湿面膜10片,,
u***r,,"<div class=""comment-star star1""></div>",完全没得精华，特别干燥，不知道好评都是怎么来的,【热销爆款】水润保湿面膜,2020-07-12 22:29,,,,
昀***忄,PLUS会员,"<div class=""comment-star star1""></div>",产品质感：粗糙补水效果：差贴合效果：差使用感受：用完皮肤痒,水润保湿面膜,,,,,2019-10-05 22:16
二***木,,"<div class=""comment-star star1""></div>",水分好少，用后皮肤很干，毛孔都变粗了，好郁闷,水润保湿面膜,,,,,2019-03-30 08:13
u***q,,"<div class=""comment-star star1""></div>",一点也不好用，不补水，精华液也少,【热销爆款】水润保湿面膜10片,,,,,2020-05-17 10:16
d***1,PLUS会员,"<div class=""comment-star star1""></div>",还没用，看样子还可以,水润保湿面膜10片,2016-08-12 12:35,,,,
****8,,"<div class=""comment-star star1""></div>",除了厚，别的都还可以,水润保湿面膜10片,2016-08-21 08:38,,,,
丹***1,PLUS会员,"<div class=""comment-star star1""></div>",用了过后脸又红又肿了，再不敢用了。,,,2017-11-15 15:05,水润保湿面膜10片,,
****o,,"<div class=""comment-star star1""></div>",感觉补水效果一般吧，没有什么明显效果。,【热销爆款】水润保湿面膜10片,,,,,2020-05-03 09:02
****s,,"<div class=""comment-star star1""></div>",假的，用了三片，每次脸都过敏，以前在实体店买的就没事。,水润保湿面膜10片,,,,,
K***E,,"<div class=""comment-star star1""></div>",补水就补水，就是敷了面膜脸上长了很多逗逗,,,2017-01-06 20:38,水润保湿面膜10片,,
****m,,"<div class=""comment-star star1""></div>",敷完第二天没有感觉补水反而脸上起皮了?,水润保湿面膜10片,,,,,
****v,PLUS会员,"<div class=""comment-star star1""></div>",感觉不像真的，不水润，跟以前在香港买的不一样,水润保湿面膜,,,,,2019-02-17 07:33
u***1,PLUS会员,"<div class=""comment-star star1""></div>",双十一买点，跟之前的不一样，没有以前那个好,【热销爆款】水润保湿面膜,,,,,2019-12-03 03:50
****7,,"<div class=""comment-star star1""></div>",不好用，感觉不是真品,水润保湿面膜,,,,,2019-06-19 20:22
妮***6,PLUS会员,"<div class=""comment-star star1""></div>",买了四盒不知道这是啥情况，盒子也被压扁了，封口的那个也开了！！！,,,,【热销爆款】水润保湿面膜10片,2020-02-14 13:30,
****8,,"<div class=""comment-star star1""></div>",为什么?，一直挺信赖京东自营的，第二次包装破损了，导致对东西都没有信心了?,,,2016-05-16 11:26,针剂水库补水保湿面膜25ml*10,,
于***4,,"<div class=""comment-star star1""></div>",使用感受：用了几次，都是第二天爆痘，是面膜问题无疑了,【热销爆款】水润保湿面膜,,,,,2019-11-02 23:29
郭***0,PLUS会员,"<div class=""comment-star star1""></div>",送货速度挺快的，但是包装都被撕开了，里面的产品包装也被抠开了,水润保湿面膜10片,2018-03-22 22:50,,,,
王***艳,,"<div class=""comment-star star1""></div>",包装越来越差了，盒子都压扁了，东西还没用，不知道效果,水润保湿面膜10片,2016-08-22 17:25,,,,
****6,,"<div class=""comment-star star1""></div>",两件半价，刚付完钱一看少拍了一件就联系客服，客服就说不能改了,水润保湿面膜,,,,,2018-11-05 19:41
****h,,"<div class=""comment-star star1""></div>",12号下单*，*售价*元！,水润保湿面膜10片,2017-12-14 15:29,,,,
****t,,"<div class=""comment-star star1""></div>",感觉是假的，一盒有12片，而且扫码扫不出来,水润保湿面膜10片,2017-11-15 21:14,,,,
n***咛,,"<div class=""comment-star star1""></div>",东哥老家的仓库太埋汰了，内外包装全是脏兮兮的，外包装还是用了好几次的，哎,水润保湿面膜10片,2016-12-31 09:02,,,,
雪***林,PLUS会员,"<div class=""comment-star star1""></div>",和实体店买的不一样，效果不好，自营店都那么差吗？,【补水保湿】水润面膜,2020-09-12 19:17,,,,
****b,PLUS会员,"<div class=""comment-star star1""></div>",不知道怎么说，长痘了,针剂水库补水保湿面膜25ml*10,2016-07-05 10:47,,,,
****c,PLUS会员,"<div class=""comment-star star1""></div>",感觉像假的。以前一直用的这个牌子都很好，第一次在网上买，好像买到了假货。,水润保湿面膜10片,,,,,
小***5,,"<div class=""comment-star star1""></div>",不好，补水效果不行。,水润保湿面膜10片,,,,,
立***贝,PLUS会员,"<div class=""comment-star star1""></div>",这次的货怎么感觉是假的？赶出货现包的？外盒都没封口,,,,水润保湿面膜,2019-07-27 23:15,
u***l,,"<div class=""comment-star star1""></div>",还不错，没有一叶子好,水润保湿面膜10片,2017-07-03 12:12,,,,
****b,,"<div class=""comment-star star1""></div>",不是很好，和实体店比起来有很大的差别,【热销爆款】水润保湿面膜10片,,,,,2020-03-14 21:29
大***8,,"<div class=""comment-star star1""></div>",包装烂的不行，还用胶布贴着，里面东西倒是没什么问题,水润保湿面膜10片,2018-05-24 15:17,,,,
叮***9,PLUS会员,"<div class=""comment-star star1""></div>",一份价格一分货，京东的便宜的。跟不便宜的，你分别买回去试试，肯定不一样。,水润保湿面膜10片,2017-07-05 08:40,,,,
****b,,"<div class=""comment-star star1""></div>",刚收到就降价，3盒降价了二十多，不退差价，懒得退了麻烦,【补水保湿】水润面膜,2020-09-14 17:21,,,,
L***x,,"<div class=""comment-star star1""></div>",连个塑料皮都没有，包装盒都是开的，逗我玩呢，负面评价京东都给屏蔽了，是不是得写篇文章扒扒你吧,水润保湿面膜,,,,,2019-07-16 23:20
樊***6,,"<div class=""comment-star star1""></div>",假的，以前在韩国买的一直用的很好，这次在京东买的用了脸上脱皮严重还长痘,水润保湿面膜10片,2017-11-23 13:46,,,,
王***o,PLUS会员,"<div class=""comment-star star1""></div>",盒子被拆开，包装稀烂，面膜太干，都不知道是不是正品。,,,,水润保湿面膜,2019-08-15 08:41,
u***9,,"<div class=""comment-star star1""></div>",虽然便宜，但不是正品，下次不会在从网上买化妆品了,针剂水库补水保湿面膜25ml*10,2016-06-08 00:52,,,,
N***s,PLUS会员,"<div class=""comment-star star1""></div>",不好，感觉用的不舒服,水润保湿面膜10片,2018-05-10 17:43,,,,
遇***j,,"<div class=""comment-star star1""></div>",做活动买的，结果让送货员把包裹搞丢了，没有收到货,水润保湿面膜10片,2016-09-29 13:55,,,,
W***M,,"<div class=""comment-star star1""></div>",物流还可以，但是这包装怎么看着很破旧的样子，看起来不像是正品,水润保湿面膜,,,,,2018-11-09 12:34
s***l,,"<div class=""comment-star star1""></div>",不行，每次敷完我皮肤都红红发热的。其他面膜不会这样的,水润保湿面膜10片,2017-10-24 12:34,,,,
w***8,,"<div class=""comment-star star1""></div>",不好。图便宜了。精华和水一样。和以前原价买的差太多了,水润保湿面膜10片,2017-12-05 10:10,,,,
****g,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：使用后脸上发涩，红，瘙痒，肿胀。,【热销爆款】水润保湿面膜,,,,,2019-12-11 11:06
马***伟,,"<div class=""comment-star star1""></div>",我才买了两天。你就降价，什么意思，买来128，现在就降到*钱，*………,水润保湿面膜10片,2017-08-10 16:46,,,,
凌***君,,"<div class=""comment-star star1""></div>",第一次买用纸盒包的好好的，这次就一个塑料袋，里面一团糟。这样不一致，不负责。,,,2017-10-10 18:18,水润保湿面膜10片,,
****w,,"<div class=""comment-star star1""></div>",包装盒破损，盒子全打开了，面膜一片片散在一个袋子里。看着不像是正品。,水润保湿面膜,,,,,2019-07-15 22:37
盆***欧,,"<div class=""comment-star star1""></div>",不怎么滴包装都烂了,水润保湿面膜,,,,,2018-11-13 20:58
王***哼,PLUS会员,"<div class=""comment-star star1""></div>",快递员中午配送，不打电话不放丰巢柜,【玄彬同款】水润面膜,2021-04-22 18:50,,,,
****g,,"<div class=""comment-star star1""></div>",使用感受：收到货就试了一片，不好，不好，用了后居然长闭口了,【热销爆款】水润保湿面膜,,,,,2019-11-08 11:13
****a,,"<div class=""comment-star star1""></div>",刚买几天就降价30,【热销爆款】水润保湿面膜10片,,,,,2020-02-20 17:00
l***m,,"<div class=""comment-star star1""></div>",假的么，感觉跟以前买的不一样，用了没感觉,【热销爆款】水润保湿面膜10片,,,,,2020-02-21 12:38
乔***鱼,,"<div class=""comment-star star1""></div>",收到快递的时候盒子是稀烂的，然后是假货，不是正品，里面的东西被换了,水润保湿面膜10片,2018-05-27 16:51,,,,
****y,,"<div class=""comment-star star1""></div>",凑合用，一般，不像正品,水润保湿面膜10片,2017-04-24 19:27,,,,
****j,,"<div class=""comment-star star1""></div>",面膜连鼻子都盖不住。,水润保湿面膜,,,,,2019-08-21 20:11
火***天,,"<div class=""comment-star star1""></div>",这次买的算是假货，无论是包装、面膜、效果，都大不如前几个月购买几盒！,水润保湿面膜10片,2017-12-12 21:37,,,,
****3,PLUS会员,"<div class=""comment-star star1""></div>",包装破损，解释居然说每个拆开检查下，你卖吃的是不是每个都要尝一下，不可原谅,水润保湿面膜10片,2018-01-12 10:22,,,,
****e,,"<div class=""comment-star star1""></div>",不理想，感觉是冒牌货！,水润保湿面膜10片,2017-06-19 03:14,,,,
****v,,"<div class=""comment-star star1""></div>",茶树面膜用的过敏?,水润保湿面膜,,,,,2019-03-08 19:52
u***i,,"<div class=""comment-star star1""></div>",包装不行，其他还可以，请以后注意包装，太简单啦,,,2017-11-20 19:59,水润保湿面膜10片,,
u***g,,"<div class=""comment-star star1""></div>",包装差劲。前面买的面膜都是盒子包装，唯独这个没有包装，拿到都是散开的。,【热销爆款】水润保湿面膜,,,,,2019-11-12 15:53
****4,,"<div class=""comment-star star1""></div>",感觉假的，用了不舒服，还是买国货面膜吧！一叶子真的不错。,水润保湿面膜10片,2017-08-10 17:21,,,,
春***4,,"<div class=""comment-star star1""></div>",不对比商场差多了质量差多了好像是假的前段时间商场买的比京东买的好多了,水润保湿面膜10片,2016-11-28 14:55,,,,
抹***檬,PLUS会员,"<div class=""comment-star star1""></div>",无论从包装还是使用感来说，都不像是正品，反正再不会买京东的东西了！,水润保湿面膜10片,,,,,
****d,,"<div class=""comment-star star1""></div>",这次双十二成功上当了，买四盒发一盒，真的服了，第一次退货,【玄彬同款】水润面膜,2020-12-14 23:05,,,,
****u,,"<div class=""comment-star star1""></div>",这个面膜水好少，感觉像假的一样，跟我在实体店买的都不一样,水润保湿面膜10片,2017-07-11 22:50,,,,
h***n,PLUS会员,"<div class=""comment-star star1""></div>",jia的，感觉现在这款面膜已经泛滥了，不知道有几个是真的,水润保湿面膜10片,2017-07-02 08:46,,,,
****g,,"<div class=""comment-star star1""></div>",包装差！就两盒面膜套一个袋子，没有专门盒子再包装下！盒子都坏掉了,水润保湿面膜,,,,,2018-09-28 20:35
****e,,"<div class=""comment-star star1""></div>",面膜昨天晚上用了一片里面的精华好少还不如去店里买,水润保湿面膜10片,2016-11-15 10:54,,,,
是***呀,PLUS会员,"<div class=""comment-star star1""></div>",我也觉得不像真的贴上有点痒包装跟之前买的质感不一样,水润保湿面膜10片,2017-06-21 06:10,,,,
****k,,"<div class=""comment-star star1""></div>",还没用，但是这其中一盒的包装也太……,,,2020-09-06 18:12,【补水保湿】水润面膜,,
N***E,,"<div class=""comment-star star1""></div>",用一张面膜，我的脸过敏3天，再也不用了，,水润保湿面膜10片,2017-10-31 20:08,,,,
****0,,"<div class=""comment-star star1""></div>",包装破损，客服不回应,【热销爆款】水润保湿面膜10片,,,,,2020-03-14 16:05
u***1,,"<div class=""comment-star star1""></div>",还不错！用着挺好！！！！！,水润保湿面膜10片,2017-12-30 18:15,,,,
****雨,,"<div class=""comment-star star1""></div>",这次买的居然发的老包装，而且用着有搓泥现象，怀疑有假,,,2018-06-26 21:46,水润保湿面膜10片,,
6***翠,,"<div class=""comment-star star1""></div>",来货包装盒都坏掉了装个盒子又怎么了态度也不好不会再买了,,,,【热销爆款】水润保湿面膜10片,2020-05-28 15:41,
t***d,,"<div class=""comment-star star1""></div>",本来应该昨天到，结果今天才到，昨天在家等了一天没有任何解释，今天收到，包装成这个样子，第一次在京东体验这么差,,,2017-04-17 21:17,水润保湿面膜10片,,
长***钰,,"<div class=""comment-star star1""></div>",为什么盒子是开封的?没有封贴呢？商品不满意,,,,水润保湿面膜,2019-06-12 11:09,
u***u,PLUS会员,"<div class=""comment-star star1""></div>",用完脸特别痒，发红，不好用,【玄彬同款】水润面膜,2021-06-02 10:35,,,,
唉***买,PLUS会员,"<div class=""comment-star star1""></div>",我就搞不明白送第二次了，都不知道密封吗，别家都是封口！,水润保湿面膜,,,,,2019-09-12 10:03
与***尽,,"<div class=""comment-star star1""></div>",东西收到了，订单有问题，客服没反应。建议谨慎购买，不然买了商家都不认了！,【热销爆款】水润保湿面膜10片,,,,,2020-03-21 08:54
****l,,"<div class=""comment-star star1""></div>",一般，面膜比较小适合孩子或小脸，成人用这款面膜，太小了。,水润保湿面膜10片,2017-12-16 15:18,,,,
D***P,,"<div class=""comment-star star1""></div>",不好，精华特别少，不好用，不建议买这款面膜,【热销爆款】水润保湿面膜10片,,,,,2020-02-14 10:27
凵***R,,"<div class=""comment-star star1""></div>",干到发白，怎么补水？？？？,,,,【热销爆款】水润保湿面膜,2019-12-10 20:27,
****z,,"<div class=""comment-star star1""></div>",假的，和图片不一样，没有x3,,,2016-09-10 21:38,水润保湿面膜10片,,
U***一,,"<div class=""comment-star star1""></div>",面膜有丝线是什么事?,水润保湿面膜,,,,,2019-06-21 19:38
t***9,PLUS会员,"<div class=""comment-star star1""></div>",假货，和我在伊藤洋华堂买的不一样，面膜上面也没有水印。,水润保湿面膜,,,,,2018-12-16 20:02
m***R,,"<div class=""comment-star star1""></div>",不好用，感觉买的假的，还不如自然堂好用,【热销爆款】水润保湿面膜,2020-07-08 15:42,,,,
-***响,PLUS会员,"<div class=""comment-star star1""></div>",购物体检较差，主要是这破包装。不管买什么也没见过透明所料袋包装吧，和外卖差不多,水润保湿面膜,,,,,2019-05-13 08:50
y***0,,"<div class=""comment-star star1""></div>",一共下了三个订单三个订单的商品都是死等不到便宜到货后突然降价,【热销爆款】水润保湿面膜10片,,,,,2020-01-28 23:43
****7,PLUS会员,"<div class=""comment-star star1""></div>",满减的时候买的，很合适，价格很合适，一直用这个面膜不错,水润保湿面膜10片,,,,,
鲍***儿,,"<div class=""comment-star star1""></div>",买了才知道韩货，虽然好用，但是以后也不想用了,水润保湿面膜10片,,,,,
u***h,,"<div class=""comment-star star1""></div>",怎么我买的面膜不是我想要的那种效果呢？一点不补水,水润保湿面膜10片,2016-09-11 20:56,,,,
u***f,PLUS会员,"<div class=""comment-star star1""></div>",用的不太舒服，没有其他品牌的好，自我感觉勿喷,【热销爆款】水润保湿面膜,,,,,2019-11-04 21:11
王***6,PLUS会员,"<div class=""comment-star star1""></div>",买回来就没有包装！而且面膜外壳还是开的！这是为什么？,水润保湿面膜10片,2017-05-14 22:54,,,,
哈***喽,,"<div class=""comment-star star1""></div>",快递到了打开发现面膜包装底部都拆了，盒子都磨掉颜色了,水润保湿面膜10片,2018-05-12 11:26,,,,
****0,,"<div class=""comment-star star1""></div>",这个面膜不能买敷了一个脸上红的。假的过敏大家别上当了,【热销爆款】水润保湿面膜,,,,,2019-11-13 23:11
y***0,,"<div class=""comment-star star1""></div>",收到货，昨天用了下，脸一个个红点了，大家用要小心购买！,,,,水润保湿面膜,2019-10-08 13:15,
****z,,"<div class=""comment-star star1""></div>",感觉不是正品没有小伙伴从韩国带回来的好用,水润保湿面膜10片,,,,,
****4,,"<div class=""comment-star star1""></div>",跟专柜买的面膜差太多了，感觉不是正品，敷完有点过敏。,【热销爆款】水润保湿面膜,,,,,2020-06-08 07:49
****c,PLUS会员,"<div class=""comment-star star1""></div>",东西没收到，联系不下五六次，东西仍然无结果，买个东西花了钱没收到货,【热销爆款】水润保湿面膜,2020-06-21 22:34,,,,
****d,,"<div class=""comment-star star1""></div>",真**贵，还**不好用，过敏了,水润保湿面膜10片,2017-11-01 09:06,,,,
u***q,PLUS会员,"<div class=""comment-star star1""></div>",和以前的不一样比以前的差很多感觉不是正品,,,2017-06-20 09:59,水润保湿面膜10片,,
****0,,"<div class=""comment-star star1""></div>",为什么每次都是坏的呢包装就不能精致一些嘛虽然很爱这个面膜但是包装属实不怎么样,,,2018-05-14 16:46,水润保湿面膜10片,,
丶***丶,,"<div class=""comment-star star1""></div>",不好用不能退货差评要求退货还不理我,【补水保湿】水润面膜,2020-08-16 11:48,,,,
s***s,PLUS会员,"<div class=""comment-star star1""></div>",老婆用了脸蛋子发红，疑似过敏！,水润保湿面膜10片,2016-08-01 18:21,,,,
猫***福,,"<div class=""comment-star star1""></div>",以前都没有过敏，这次用居然过敏，不会是假货吧,水润保湿面膜,,,,,2019-04-20 22:51
孟***6,,"<div class=""comment-star star1""></div>",跟以前用的不一样，可油，纸也糟，像假的,【热销爆款】水润保湿面膜10片,,,,,2020-02-20 20:11
x***f,,"<div class=""comment-star star1""></div>",一般吧没有说的那么多精华，而且面膜特别厚,【热销爆款】水润保湿面膜10片,,,,,2020-01-14 23:08
****8,PLUS会员,"<div class=""comment-star star1""></div>",就一个快递袋子包着，到手面膜纸盒压破，面膜都要掉出来了,水润保湿面膜10片,2018-08-30 14:14,,,,
李***阁,PLUS会员,"<div class=""comment-star star1""></div>",女朋友用过后，说不咋样，不保水！这是不是水货的！,水润保湿面膜,,,,,2018-11-15 15:36
s***y,PLUS会员,"<div class=""comment-star star1""></div>",18年生产的，积压了2年多的面膜，这个时候来忽悠人！,,,2020-11-15 18:14,【补水保湿】水润面膜,,
o***5,,"<div class=""comment-star star1""></div>",包装不知道被狗咬了还是怎么的，补水效果真的不是很明显,水润保湿面膜10片,2016-12-20 07:18,,,,
四***娘,,"<div class=""comment-star star1""></div>",不是真的面膜上没有logo,水润保湿面膜,,,,,2018-10-17 19:35
咬***我,,"<div class=""comment-star star1""></div>",别的不说了就这包装后边全都开了也不知道有没有被调包,,,,水润保湿面膜,2019-05-15 14:08,
一***鱼,,"<div class=""comment-star star1""></div>",用后长痘，长了五个，不知道是不是这款面膜原因，等好了以后再试一次,水润保湿面膜,,,,,2018-12-09 12:29
M***6,,"<div class=""comment-star star1""></div>",第二天就降价了，客服人员说帮忙申请退差价32.8，到账户成32了，不差这八毛钱，不过就是让人不爽。,水润保湿面膜10片,2017-08-10 22:42,,,,
****n,,"<div class=""comment-star star1""></div>",用过和没用感觉一样。其它的牌子随便一个都比这个好。,【热销爆款】水润保湿面膜,2020-06-13 13:35,,,,
j***p,,"<div class=""comment-star star1""></div>",几百块钱的东西，居然就用个快递袋包装就发过来了，收到盒子都不像样子了这么缺包装费吗？,水润保湿面膜,,,,,2019-02-18 16:56
****l,,"<div class=""comment-star star1""></div>",感觉像假的，没jm好用,【热销爆款】水润保湿面膜10片,,,,,2020-03-31 21:38
大***荷,,"<div class=""comment-star star1""></div>",我用着不太好一点效果都没有搓泥,水润保湿面膜10片,2018-01-30 13:40,,,,
****圭,,"<div class=""comment-star star1""></div>",不好用，用了两次额头上和脸颊长了一些小颗粒，,水润保湿面膜10片,2018-05-31 12:23,,,,
****m,,"<div class=""comment-star star1""></div>",明显用一些正品盒子组装一些水货进去的，别被各种优惠忽悠了,,,,【热销爆款】水润保湿面膜10片,2020-02-07 15:00,
****x,PLUS会员,"<div class=""comment-star star1""></div>",打开箱子就是这个样子！是有人退货又给我发来了吗！经常买这款，第一次出现这种情况！心塞,,,2017-10-26 11:39,水润保湿面膜10片,,
兰***拽,PLUS会员,"<div class=""comment-star star1""></div>",感觉没啥用，面膜太小了，我的脸都包不住,水润保湿面膜10片,2018-03-08 14:35,,,,
w***洁,,"<div class=""comment-star star1""></div>",怎么包装的？还是有人动过手脚东西都在外面漏着,水润保湿面膜,,,,,2018-10-06 15:07
静***淘,,"<div class=""comment-star star1""></div>",跟我之前用的不一样。有股酒精味。刺鼻的,,,2018-08-18 19:37,水润保湿面膜10片,,
我***9,,"<div class=""comment-star star1""></div>",收到时快递包装是打开的，有效期印刷和屈臣氏买的不一样，不知道是不是正品,水润保湿面膜,,,,,2019-01-22 18:08
