用户名,会员,星级,评论,采集时间,类型1,评论时间1,类型2,评论时间2,评论时间3,评论时间4
s***a,PLUS会员,"<div class=""comment-star star3""></div>",暂时收到后还没有开始使用，这次买的比以前优惠哦。,10:45.1,,,【热销爆款】水润保湿面膜,2019/11/1 17:50,,
E***贱,PLUS会员,"<div class=""comment-star star3""></div>",用了下来感觉就这样，好像也没啥很好的效果,10:45.2,水润保湿面膜10片,2016/8/24 19:03,,,,
老***敌,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：搞活动的时候买的，很实惠，比实体店便宜。,10:45.3,【热销爆款】水润保湿面膜10片,,,,,
u***3,,"<div class=""comment-star star3""></div>",还行，老婆在用，但说没有朋友从香港带的好,10:45.6,水润保湿面膜10片,2017/9/8 22:13,,,,
****a,PLUS会员,"<div class=""comment-star star3""></div>",今天刚刚收到，还没用，不知道如何,10:45.6,,,水润保湿面膜,2018/11/12 18:38,,
****9,PLUS会员,"<div class=""comment-star star3""></div>",完全贴不住全脸下次你们可以标个女士专用,10:45.7,水润保湿面膜,,,,,
l***6,,"<div class=""comment-star star3""></div>",没有用过，不知道好不好，过几天再来,10:45.7,水润保湿面膜10片,2017/5/19 13:58,,,,
爱***儿,,"<div class=""comment-star star3""></div>",朋友推荐买的，希望好用,10:45.8,【玄彬同款】水润面膜,2021/3/19 18:25,,,,
比***1,PLUS会员,"<div class=""comment-star star3""></div>",还不错，凑合吧，评价为了京豆而已。,10:45.8,【玄彬同款】水润面膜,2021/2/16 18:37,,,,
y***4,PLUS会员,"<div class=""comment-star star3""></div>",不要指望效果有多好，毕竟价钱在那放着呢。,10:45.9,水润保湿面膜,,,,,
****7,,"<div class=""comment-star star3""></div>",还没有用，价格倒是挺便宜的，希望会好用吧,10:45.9,,,水润保湿面膜10片,,2017/8/10 20:07,
****G,,"<div class=""comment-star star3""></div>",包装都压扁了，，还没用用用再说吧。,10:45.9,水润保湿面膜,,,,,
u***v,,"<div class=""comment-star star3""></div>",面膜还可以，不错挺好的，水份挺多的。,10:46.0,水润保湿面膜10片,2018/1/2 13:54,,,,
乐***月,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：面膜偏厚适合肤质：补水补水效果：一般,10:46.3,【热销爆款】水润保湿面膜10片,,,,,
d***n,PLUS会员,"<div class=""comment-star star3""></div>",感觉还行就是有点黏黏的适合小脸,10:46.3,水润保湿面膜10片,2017/4/23 11:38,,,,
应***边,PLUS会员,"<div class=""comment-star star3""></div>",活动买价格还行，有一盒直接就没有封口。。。,10:46.4,【热销爆款】水润保湿面膜,,,,,
五***5,,"<div class=""comment-star star3""></div>",还没用，之前有朋友从韩国带过，觉得好用才买的,10:46.5,水润保湿面膜10片,2016/9/26 13:21,,,,
为***呢,,"<div class=""comment-star star3""></div>",目前用了一贴，补水效果十分一般,10:46.5,【热销爆款】水润保湿面膜10片,,,,,
****5,,"<div class=""comment-star star3""></div>",大品牌值得信赖，希望不会让我失望，好的话，会一直用下去,10:46.6,水润保湿面膜10片,2018/6/3 8:44,,,,
****f,,"<div class=""comment-star star3""></div>",给个中评吧，一般般，没有我表姐在香港带的好,10:46.6,水润保湿面膜,,,,,
a***p,,"<div class=""comment-star star3""></div>",还没用噢，暂时不知道效果…,10:46.7,,,水润保湿面膜10片,,2016/8/26 17:39,
****?,,"<div class=""comment-star star3""></div>",还好吧买很多次了比商场贵点懒得逛商场就在网上买了,10:46.8,水润保湿面膜10片,2018/5/15 0:52,,,,
****x,,"<div class=""comment-star star3""></div>",补水挺好的，用了一次觉得效果很好。,10:46.8,水润保湿面膜10片,2017/11/18 10:16,,,,
C***雅,,"<div class=""comment-star star3""></div>",补水效果不错，不觉得黏，清爽的,10:47.2,【热销爆款】水润保湿面膜,,,,,
草***1,,"<div class=""comment-star star3""></div>",精华很多，反正补水的，也就这么用吧,10:47.2,水润保湿面膜10片,,,,,2017/3/7 21:05
